"","FirstMissionYear","CitizenCleaned","DurationBinned","Count"
"1",1961,"Russia","1 hour to 1 week",2
"2",1961,"USA","1 hour to 1 week",1
"3",1961,"USA","1 week to 50 days",1
"4",1962,"Russia","1 week to 50 days",2
"5",1962,"USA","1 hour to 1 week",1
"6",1962,"USA","1 week to 50 days",2
"7",1962,"USA","less than 1 hour",1
"8",1963,"Russia","1 hour to 1 week",1
"9",1963,"Russia","1 week to 50 days",1
"10",1963,"USA","1 week to 50 days",1
"11",1963,"USA","less than 1 hour",2
"12",1964,"Russia","1 hour to 1 week",3
"13",1965,"Russia","1 hour to 1 week",1
"14",1965,"Russia","1 week to 50 days",1
"15",1965,"USA","1 hour to 1 week",1
"16",1965,"USA","1 week to 50 days",7
"17",1965,"USA","less than 1 hour",1
"18",1966,"USA","1 week to 50 days",6
"19",1966,"USA","less than 1 hour",1
"20",1967,"USA","less than 1 hour",2
"21",1968,"Russia","1 hour to 1 week",1
"22",1968,"USA","1 hour to 1 week",1
"23",1968,"USA","1 week to 50 days",2
"24",1969,"Russia","1 hour to 1 week",2
"25",1969,"Russia","1 week to 50 days",6
"26",1969,"Russia","50 days to 1 year",1
"27",1969,"USA","1 week to 50 days",1
"28",1969,"USA","50 days to 1 year",1
"29",1970,"Russia","50 days to 1 year",1
"30",1970,"USA","1 hour to 1 week",2
"31",1971,"Other","1 week to 50 days",1
"32",1971,"Russia","1 week to 50 days",2
"33",1971,"USA","1 week to 50 days",4
"34",1972,"USA","1 week to 50 days",4
"35",1973,"Russia","1 hour to 1 week",1
"36",1973,"Russia","1 week to 50 days",1
"37",1973,"Russia","50 days to 1 year",2
"38",1973,"USA","1 week to 50 days",2
"39",1973,"USA","50 days to 1 year",5
"40",1974,"Russia","1 hour to 1 week",2
"41",1974,"Russia","1 week to 50 days",1
"42",1975,"Russia","1 week to 50 days",1
"43",1975,"Russia","50 days to 1 year",1
"44",1975,"USA","1 week to 50 days",2
"45",1976,"Other","1 week to 50 days",1
"46",1976,"Russia","1 hour to 1 week",2
"47",1976,"Russia","1 week to 50 days",1
"48",1977,"Russia","1 week to 50 days",1
"49",1977,"Russia","50 days to 1 year",1
"50",1977,"Russia","more than 1 year",2
"51",1978,"Other","1 week to 50 days",3
"52",1978,"Russia","50 days to 1 year",2
"53",1979,"Other","1 hour to 1 week",1
"54",1979,"Russia","50 days to 1 year",1
"55",1980,"Other","1 week to 50 days",3
"56",1980,"Russia","1 week to 50 days",1
"57",1980,"Russia","50 days to 1 year",2
"58",1980,"Russia","more than 1 year",1
"59",1981,"Other","1 week to 50 days",2
"60",1981,"Russia","50 days to 1 year",1
"61",1981,"USA","1 week to 50 days",2
"62",1982,"Other","1 week to 50 days",1
"63",1982,"Russia","1 week to 50 days",1
"64",1982,"Russia","50 days to 1 year",1
"65",1982,"Russia","more than 1 year",1
"66",1982,"USA","1 hour to 1 week",1
"67",1982,"USA","1 week to 50 days",4
"68",1983,"Other","1 week to 50 days",1
"69",1983,"Russia","50 days to 1 year",1
"70",1983,"Russia","more than 1 year",1
"71",1983,"USA","1 hour to 1 week",1
"72",1983,"USA","1 week to 50 days",11
"73",1983,"USA","50 days to 1 year",2
"74",1984,"Other","1 week to 50 days",2
"75",1984,"Russia","1 week to 50 days",1
"76",1984,"Russia","50 days to 1 year",2
"77",1984,"USA","1 hour to 1 week",3
"78",1984,"USA","1 week to 50 days",16
"79",1985,"Other","1 hour to 1 week",1
"80",1985,"Other","1 week to 50 days",5
"81",1985,"Russia","50 days to 1 year",1
"82",1985,"Russia","more than 1 year",1
"83",1985,"USA","1 hour to 1 week",6
"84",1985,"USA","1 week to 50 days",22
"85",1985,"USA","50 days to 1 year",4
"86",1986,"USA","1 hour to 1 week",2
"87",1986,"USA","1 week to 50 days",1
"88",1986,"USA","50 days to 1 year",1
"89",1987,"Other","1 week to 50 days",1
"90",1987,"Russia","1 week to 50 days",1
"91",1987,"Russia","50 days to 1 year",1
"92",1987,"Russia","more than 1 year",2
"93",1988,"Other","1 week to 50 days",2
"94",1988,"Russia","more than 1 year",3
"95",1988,"USA","1 week to 50 days",1
"96",1988,"USA","50 days to 1 year",1
"97",1989,"USA","1 hour to 1 week",2
"98",1989,"USA","1 week to 50 days",8
"99",1989,"USA","50 days to 1 year",1
"100",1990,"Other","1 week to 50 days",1
"101",1990,"Russia","50 days to 1 year",2
"102",1990,"Russia","more than 1 year",1
"103",1990,"USA","1 week to 50 days",10
"104",1990,"USA","50 days to 1 year",3
"105",1991,"Other","1 week to 50 days",3
"106",1991,"Other","50 days to 1 year",1
"107",1991,"USA","1 hour to 1 week",1
"108",1991,"USA","1 week to 50 days",15
"109",1991,"USA","50 days to 1 year",2
"110",1992,"Other","1 week to 50 days",8
"111",1992,"Russia","more than 1 year",2
"112",1992,"USA","1 week to 50 days",10
"113",1992,"USA","50 days to 1 year",2
"114",1992,"USA","more than 1 year",1
"115",1993,"Other","1 week to 50 days",2
"116",1993,"Other","50 days to 1 year",1
"117",1993,"Russia","50 days to 1 year",1
"118",1993,"Russia","more than 1 year",1
"119",1993,"USA","1 week to 50 days",9
"120",1993,"USA","50 days to 1 year",6
"121",1994,"Other","1 week to 50 days",2
"122",1994,"Other","50 days to 1 year",1
"123",1994,"Russia","50 days to 1 year",1
