Decade,CitizenGroup,Count
1960s,Russia,21
1960s,USA,32
1970s,Other,6
1970s,Russia,22
1970s,USA,19
1980s,Other,18
1980s,Russia,22
1980s,USA,89
1990s,Other,36
1990s,Russia,21
1990s,USA,111
2000s,China,6
2000s,Other,15
2000s,Russia,13
2000s,USA,86
2010s,China,5
2010s,Other,16
2010s,Russia,17
2010s,USA,19
2020s,China,16
2020s,Other,64
2020s,Russia,15
2020s,USA,104
