FirstMissionYear,FlightClass,Count
1961,Orbital,4
1962,Orbital,5
1962,Suborbital,1
1963,Orbital,3
1963,Suborbital,2
1964,Orbital,3
1965,Orbital,10
1965,Suborbital,1
1966,Orbital,6
1966,Suborbital,1
1967,Suborbital,2
1968,Orbital,4
1969,Orbital,11
1970,Orbital,3
1971,Orbital,7
1972,Orbital,4
1973,Orbital,11
1974,Orbital,3
1975,Orbital,4
1976,Orbital,4
1977,Orbital,4
1978,Orbital,5
1979,Orbital,2
1980,Orbital,7
1981,Orbital,5
1982,Orbital,9
1983,Orbital,17
1984,Orbital,24
1985,Orbital,40
1986,Orbital,4
1987,Orbital,5
1988,Orbital,7
1989,Orbital,11
1990,Orbital,17
1991,Orbital,22
1992,Orbital,23
1993,Orbital,20
1994,Orbital,16
1995,Orbital,17
1996,Orbital,15
1997,Orbital,16
1998,Orbital,16
1999,Orbital,6
2000,Orbital,7
2001,Orbital,12
2002,Orbital,17
2003,Orbital,5
2004,Orbital,3
2004,Suborbital,2
2005,Orbital,5
2006,Orbital,12
2007,Orbital,13
2008,Orbital,22
2009,Orbital,22
2010,Orbital,9
2011,Orbital,5
2012,Orbital,5
2013,Orbital,6
2014,Orbital,5
2015,Orbital,5
2016,Orbital,6
2017,Orbital,4
2018,Orbital,5
2018,Suborbital,1
2019,Orbital,3
2019,Suborbital,3
2020,Orbital,2
2021,Orbital,14
2021,Suborbital,17
2022,Orbital,15
2022,Suborbital,17
2023,Orbital,13
2023,Suborbital,19
2024,Orbital,14
2024,Suborbital,25
2025,Orbital,17
2025,Suborbital,39
2026,Orbital,1
2026,Suborbital,6
